# ra decN decS
2.379072681704260503e+02 5.794810632525122074e+00 4.184242590626968905e+00
2.380701754385964932e+02 5.864865436440247493e+00 4.254410498279417752e+00
2.382330827067669077e+02 5.934906692780764992e+00 4.324507567203924374e+00
2.383959899749373506e+02 6.004943549055182572e+00 4.394547022177578199e+00
2.385588972431077650e+02 6.074983268687308424e+00 4.464541005624342418e+00
2.387218045112782079e+02 6.145030872501713759e+00 4.534500587516471448e+00
2.388847117794486223e+02 6.215090342655818390e+00 4.604435773225766582e+00
2.390476190476190368e+02 6.285164623190408584e+00 4.674354940138949033e+00
2.392105263157894797e+02 6.355255619960066937e+00 4.744268085221341025e+00
2.393734335839598941e+02 6.425364200140271542e+00 4.814182102190087242e+00
2.395363408521303086e+02 6.495490191507463429e+00 4.884102118263401238e+00
2.396992481203007515e+02 6.565633847929077227e+00 4.954032211270636310e+00
2.398621553884711659e+02 6.635790676298788604e+00 5.023975409724705798e+00
2.400250626566416088e+02 6.705956137058294075e+00 5.093933692263178159e+00
2.401879699248120232e+02 6.776125217322393368e+00 5.163907986656099958e+00
2.403508771929824661e+02 6.846291863753844353e+00 5.233898168578930310e+00
2.405137844611528806e+02 6.916448984458147820e+00 5.303904591619715170e+00
2.406766917293232950e+02 6.986588452001334382e+00 5.373922294988927817e+00
2.408395989974937379e+02 7.056701107739502987e+00 5.443947170196420160e+00
2.410025062656641524e+02 7.126775518307297830e+00 5.513974208384508913e+00
2.411654135338345668e+02 7.196792566915952705e+00 5.583997345293331804e+00
2.413283208020050097e+02 7.266744111488168123e+00 5.654009462636857108e+00
2.414912280701754526e+02 7.336616247467519614e+00 5.724002390606378832e+00
2.416541353383458670e+02 7.406394082781181609e+00 5.793966911693081201e+00
2.418170426065162815e+02 7.476061753441682889e+00 5.863891358660585418e+00
2.419799498746867243e+02 7.545602441648713743e+00 5.933756764279715767e+00
2.421428571428571388e+02 7.614998396529436775e+00 6.003554886293058779e+00
2.423057644110275533e+02 7.684230957643698012e+00 6.073271704849574348e+00
2.424686716791979961e+02 7.753257818517135469e+00 6.142892193985797888e+00
2.426315789473684106e+02 7.822063631703271014e+00 6.212400336793832523e+00
2.427944862155388535e+02 7.890635642656401494e+00 6.281779143114226471e+00
2.429573934837092679e+02 7.958951079658006300e+00 6.351010669894595395e+00
2.431203007518797108e+02 8.026986414658184188e+00 6.420076044343738353e+00
2.432832080200501252e+02 8.094717404959762774e+00 6.488937573271143400e+00
2.434461152882205397e+02 8.162119138160395693e+00 6.557571123819544212e+00
2.436090225563909826e+02 8.229166080340299061e+00 6.625967573554261136e+00
2.437719298245613970e+02 8.295793198939866997e+00 6.694103870325520234e+00
2.439348370927318115e+02 8.361970693107323882e+00 6.761956184198577802e+00
2.440977443609022544e+02 8.427700061762566364e+00 6.829499948982997282e+00
2.442606516290726972e+02 8.492952945577290080e+00 6.896709907069713097e+00
2.444235588972431117e+02 8.557700639058792191e+00 6.963560157567250108e+00
2.445864661654135261e+02 8.621914157038435889e+00 7.030006014914599533e+00
2.447493734335839690e+02 8.685564303766764027e+00 7.095978921474997314e+00
2.449122807017543835e+02 8.748621744411538614e+00 7.161497887059908862e+00
2.450751879699247979e+02 8.810933159764331890e+00 7.226534112657398090e+00
2.452380952380952408e+02 8.872570647390983112e+00 7.291058431428039555e+00
2.454010025062656553e+02 8.933508236585179674e+00 7.355041375450193541e+00
2.455639097744360981e+02 8.993715763586793699e+00 7.418453245142982766e+00
2.457268170426065126e+02 9.053163301587430212e+00 7.481264181164966942e+00
2.458897243107769555e+02 9.111821242646819030e+00 7.543373827136555576e+00
2.460526315789473699e+02 9.169651149383854616e+00 7.604752577438397054e+00
2.462155388471177844e+02 9.226442538656327130e+00 7.665421933000729382e+00
2.463784461152882272e+02 9.282334424533823736e+00 7.725351136973619859e+00
2.465413533834586417e+02 9.337298164571880221e+00 7.784509650870592878e+00
2.467042606516290562e+02 9.391305844585371432e+00 7.842867237279261161e+00
2.468671679197994990e+02 9.444330360678083736e+00 7.900394043179274739e+00
2.470300751879699135e+02 9.496345499692885994e+00 7.956951077127524918e+00
2.471929824561403564e+02 9.547100745372592456e+00 8.012513423025655612e+00
2.473558897243107708e+02 9.596715976786530433e+00 8.067134084804500560e+00
2.475187969924812137e+02 9.645218713537321520e+00 8.120784446037276894e+00
2.476817042606516281e+02 9.692585881081059895e+00 8.173436687769376263e+00
2.478446115288220426e+02 9.738795676625345621e+00 8.225063870243669584e+00
2.480075187969924855e+02 9.783767827604773260e+00 8.275568817135731337e+00
2.481704260651628999e+02 9.827220158473286560e+00 8.324773882919606294e+00
2.483333333333333144e+02 9.869422425259864795e+00 8.372849010917942536e+00
2.484962406015037573e+02 9.910357352721716140e+00 8.419770362071723468e+00
2.486591478696742001e+02 9.950009256757317289e+00 8.465515363270112559e+00
2.488220551378446146e+02 9.988345305974300814e+00 8.510062775458514750e+00
2.489849624060150290e+02 1.002491014127724611e+01 8.553173147814723265e+00
2.491478696741854719e+02 1.006011415493585304e+01 8.594863040008204891e+00
2.493107769423558864e+02 1.009394732929928651e+01 8.635263949563798391e+00
2.494736842105263008e+02 1.012640146634097960e+01 8.674359404167589105e+00
2.496365914786967437e+02 1.015727176143952981e+01 8.712134572959152834e+00
2.497994987468671582e+02 1.018634898760646657e+01 8.748367221390836335e+00
2.499624060150376010e+02 1.021398785031010448e+01 8.782958865216688338e+00
2.501253132832080155e+02 1.024018661664785768e+01 8.816154519412680912e+00
2.502882205513784584e+02 1.026493779418247243e+01 8.847945209521906662e+00
2.504511278195488728e+02 1.028756241165281438e+01 8.878323814922634227e+00
2.506140350877192873e+02 1.030870361365966659e+01 8.906852067844948095e+00
2.507769423558897302e+02 1.032836651727298261e+01 8.933763074188423303e+00
2.509398496240601446e+02 1.034655820790179170e+01 8.959205383573060288e+00
2.511027568922305591e+02 1.036250249304461946e+01 8.983178469351980056e+00
2.512656641604010019e+02 1.037692143412659718e+01 9.005412821013083047e+00
2.514285714285714164e+02 1.038984787121859377e+01 9.025726661091511005e+00
2.515914786967418593e+02 1.040112972017287163e+01 9.044531024750311232e+00
2.517543859649122737e+02 1.041018572821369759e+01 9.061832313783364512e+00
2.519172932330827166e+02 1.041774032700626051e+01 9.077358187630759190e+00
2.520802005012531311e+02 1.042419932406791538e+01 9.090841390475699058e+00
2.522431077694235455e+02 1.043065832112957381e+01 9.102798489152284844e+00
2.524060150375939884e+02 1.043711731819122690e+01 9.113242914307434717e+00
2.525689223057644028e+02 1.044357631525287999e+01 9.121674634429572492e+00
2.527318295739348173e+02 1.045003531231453664e+01 9.128176746067133251e+00
2.528947368421052602e+02 1.045649430937618263e+01 9.134163470898172932e+00
2.530576441102757030e+02 1.046295330643784638e+01 9.140150195729214389e+00
2.532205513784461175e+02 1.046941230349950303e+01 9.146136920560248740e+00
2.533834586466165320e+02 1.047587130056115967e+01 9.152123645391288420e+00
2.535463659147869748e+02 1.048233029762280921e+01 9.158110370222328100e+00
2.537092731829573893e+02 1.048878929468446586e+01 9.164097095053364228e+00
2.538721804511278037e+02 1.049524829174610829e+01 9.170083819884411014e+00
2.540350877192982466e+02 1.050170728880777915e+01 9.176070544715443589e+00
2.541979949874686611e+02 1.050816628586942159e+01 9.182057269546490375e+00
2.543609022556391039e+02 1.051462528293109244e+01 9.188043994377515844e+00
2.545238095238095184e+02 1.052108427999274909e+01 9.194030719208555524e+00
2.546867167919799613e+02 1.052754327705439152e+01 9.200017444039602310e+00
2.548496240601503757e+02 1.053400227411603396e+01 9.206004168870634885e+00
2.550125313283207902e+02 1.054046127117769061e+01 9.211990893701681671e+00
2.551754385964912331e+02 1.054692026823937567e+01 9.217977618532714246e+00
2.553383458646616475e+02 1.055337926530100390e+01 9.223964343363761031e+00
2.555012531328320620e+02 1.055983826236268897e+01 9.229951068194793606e+00
2.556641604010025048e+02 1.056629725942431719e+01 9.235937793025826181e+00
2.558270676691729193e+02 1.057275625648597384e+01 9.241924517856858756e+00
2.559899749373433622e+02 1.057921525354763048e+01 9.247911242687891331e+00
2.561528822055137766e+02 1.058567425060928713e+01 9.253897967518952328e+00
2.563157894736842195e+02 1.059213324767094377e+01 9.259884692349970692e+00
2.564786967418546055e+02 1.059859224473260042e+01 9.265871417181045899e+00
2.566416040100250484e+02 1.060505124179425707e+01 9.271858142012064263e+00
2.568045112781954913e+02 1.061151023885591371e+01 9.277844866843111049e+00
2.569674185463659342e+02 1.061796923591757036e+01 9.283831591674129413e+00
2.571303258145363202e+02 1.062442823297922700e+01 9.289818316505176199e+00
2.572932330827067631e+02 1.063088723004085523e+01 9.295805041336194563e+00
2.574561403508772059e+02 1.063734622710251188e+01 9.301791766167269770e+00
2.576190476190475920e+02 1.064380522416419694e+01 9.307778490998288135e+00
2.577819548872180349e+02 1.065026422122582517e+01 9.313765215829334920e+00
2.579448621553884777e+02 1.065672321828748181e+01 9.319751940660353284e+00
2.581077694235589206e+02 1.066318221534919530e+01 9.325738665491400070e+00
2.582706766917293066e+02 1.066964121241079511e+01 9.331725390322446856e+00
2.584335839598997495e+02 1.067610020947245175e+01 9.337712115153493642e+00
2.585964912280701924e+02 1.068255920653410840e+01 9.343698839984540427e+00
2.587593984962405784e+02 1.068901820359576504e+01 9.349685564815558791e+00
2.589223057644110213e+02 1.069547720065742169e+01 9.355672289646605577e+00
2.590852130325814642e+02 1.070193619771907834e+01 9.361659014477623941e+00
2.592481203007519071e+02 1.070839519478073498e+01 9.367645739308670727e+00
2.594110275689222931e+02 1.071485419184239163e+01 9.373632464139689091e+00
2.595739348370927360e+02 1.072131318890404827e+01 9.379619188970764299e+00
2.597368421052631788e+02 1.072777218596570492e+01 9.385605913801782663e+00
2.598997493734335649e+02 1.073423118302736157e+01 9.391592638632857870e+00
2.600626566416040077e+02 1.074069018008901821e+01 9.397579363463876234e+00
2.602255639097744506e+02 1.074714917715067486e+01 9.403566088294894598e+00
2.603884711779448367e+02 1.075360817421227466e+01 9.409552813125969806e+00
2.605513784461152795e+02 1.076006717127398815e+01 9.415539537956988170e+00
2.607142857142857224e+02 1.076652616833558795e+01 9.421526262788063377e+00
2.608771929824561084e+02 1.077298516539730144e+01 9.427512987619081741e+00
2.610401002506265513e+02 1.077944416245895809e+01 9.433499712450100105e+00
2.612030075187969942e+02 1.078590315952061474e+01 9.439486437281118469e+00
2.613659147869674371e+02 1.079236215658221454e+01 9.445473162112193677e+00
2.615288220551378231e+02 1.079882115364387118e+01 9.451459886943212041e+00
2.616917293233082660e+02 1.080528015070558467e+01 9.457446611774230405e+00
2.618546365914787089e+02 1.081173914776724132e+01 9.463433336605305612e+00
2.620175438596490949e+02 1.081819814482889797e+01 9.469420061436323977e+00
2.621804511278195378e+02 1.082465714189055461e+01 9.475406786267342341e+00
2.623433583959899806e+02 1.083111613895215442e+01 9.481393511098417548e+00
2.625062656641604235e+02 1.083757513601381106e+01 9.487380235929492756e+00
2.626691729323308095e+02 1.084403413307552455e+01 9.493366960760511120e+00
2.628320802005012524e+02 1.085049313013712435e+01 9.499353685591529484e+00
2.629949874686716953e+02 1.085695212719878100e+01 9.505340410422547848e+00
2.631578947368420813e+02 1.086341112426043765e+01 9.511327135253623055e+00
2.633208020050125242e+02 1.086987012132203745e+01 9.517313860084641419e+00
2.634837092731829671e+02 1.087632911838386462e+01 9.523300584915659783e+00
2.636466165413534100e+02 1.088278811544535074e+01 9.529287309746678147e+00
2.638095238095237960e+02 1.088924711250706423e+01 9.535274034577753355e+00
2.639724310776942389e+02 1.089570610956877772e+01 9.541260759408828562e+00
2.641353383458646817e+02 1.090216510663037752e+01 9.547247484239846926e+00
2.642982456140350678e+02 1.090862410369209101e+01 9.553234209070922134e+00
2.644611528822055107e+02 1.091508310075369081e+01 9.559220933901940498e+00
2.646240601503759535e+02 1.092154209781540430e+01 9.565207658732958862e+00
2.647869674185463396e+02 1.092800109487700411e+01 9.571194383563977226e+00
2.649498746867167824e+02 1.093446009193871760e+01 9.577181108395052433e+00
2.651127819548872253e+02 1.094091908900031740e+01 9.583167833226070798e+00
2.652756892230576113e+02 1.094737808606203089e+01 9.589154558057146005e+00
2.654385964912280542e+02 1.095383708312363069e+01 9.595141282888164369e+00
2.656015037593984971e+02 1.096029608018523049e+01 9.601128007719239577e+00
2.657644110275689400e+02 1.096675507724694398e+01 9.607114732550257941e+00
2.659273182957393260e+02 1.097321407430854379e+01 9.613101457381276305e+00
2.660902255639097689e+02 1.097967307137025728e+01 9.619088182212294669e+00
2.662531328320802118e+02 1.098613206843185708e+01 9.625074907043313033e+00
2.664160401002505978e+02 1.099259106549357057e+01 9.631061631874331397e+00
2.665789473684210407e+02 1.099905006255539774e+01 9.637048356705463448e+00
