TrackName,width_phi2,width_dist,width_pmphi1,width_pmphi2
Fimbulthul-I21,1.6153976611508631,0.2972061361970378,1.29830180110172,0.9662997741059767
OmegaCen-I21,1.6153976611508631,0.2972061361970378,1.29830180110172,0.9662997741059767
Fjorm-I21,1.208934433269824,0.9331870986271771,0.9419955804455012,0.5449134373606653
M68-I21,0.4431172913001987,0.39422875193601975,0.7842626449917623,0.38113087009658697
M68-P19,0.6841685879556385,3.0114274809007813,0.2874431703812163,0.45256315225595334
Gjoll-I21,0.6935525886984297,0.2452847325500104,1.0094050165049944,0.2843689000274469
NGC3201-I21,0.5402622455766622,0.7874008485871984,1.2129807085482878,0.6025833527265514
NGC3201-P21,0.6825662211700942,2.8024748832087325,0.6470036513351887,0.39889854253670054
M2-G22,0.8189209596035613,5.370032462323904e-15,0.18611898095470464,0.18063163729513346
M2-I21,0.2181361374124675,0.9761900108490028,0.37850554912405293,0.21465967805135985
M5-G19,1.1622487199308948,0.06374546017052807,0.49754754124707173,0.38390770333649904
M5-I21,0.4156991346060395,0.60876216697687,0.8162151346699182,0.9104666455961747
M92-I21,1.4085896692390136,1.4305203160991102,0.8089472969508853,0.7716836331565378
NGC288-I21,0.5665397543982585,0.6954471865284344,0.24694342130523003,0.234041119337994
NGC2298-I21,0.36018570067758277,1.9502707706438018,0.43871526412119166,0.3399801941824413
NGC5466-I21,0.26078606124436526,0.9191085563040402,0.16910662642347832,0.2794924496378843
NGC5466-J21,1.1954159686594499,1.7738889880729718,0.24031990653473556,0.268439400100313
Pal5-I21,0.4147876331471096,2.8801949244601395,0.4801322334759058,0.2652835142896052
Pal5-PW19,0.9025164200022109,0.8531027429454473,0.18054991566830542,0.22357174317830478
TucanaIII-S19,0.11481448165553307,4.901305129373262,0.09171574892785242,0.07066282098367142
NGC1261-I21,1.8068518489047718,4.3730662480048785,0.13592366408345447,0.2069226843421819
NGC1851-I21,2.370671664525093,2.9902547282036216,0.07544327512965694,0.0570480350855049
NGC2808-I21,0.3969196968035457,1.7695453416703397,1.4408484541993218,0.8292637153546579
NGC6101-I21,0.31154450263501515,2.4768091305989546,0.35946101597687347,0.41666413013664644
NGC6397-I21,0.4720059174989512,0.07931174545425652,0.3694127317673055,0.6079293604618649
